uniprot	Gene_names	GNlim_1	GNlim_2
M7WRR0	RHTO_02528	2.377650071383338e-06	1.949036108343088e-06
M7X730	RHTO_04258	1.4938473213750065e-06	1.248911725381128e-06
M7WMT2	RHTO_05318	2.5031945414216274e-07	1.9153060290882914e-07
M7XZN0	RHTO_00216	1.7523021893735744e-05	1.647871112786907e-05
M7XG73	RHTO_07719	6.775677423698078e-06	5.859862185769199e-06
M7XMM3	RHTO_02877	4.5202706153233494e-07	3.5449377329079845e-07
M7X4A4	RHTO_02671	2.442850003368627e-07	2.0110518767974687e-07
M7WYU2	RHTO_07573	4.1382700974265344e-07	4.0788334466729386e-07
M7WPW0	RHTO_00856	2.038098867186771e-06	1.6058578413626078e-06
M7X6G2	RHTO_00098	6.960852098080695e-07	5.239376584711766e-07
M7WFS5	RHTO_05194	2.2743246476735363e-07	1.769325226480419e-07
M7WU76	RHTO_01906	3.640088714391861e-06	3.0484792006234955e-06
M7WZ76	RHTO_00370	5.915884651466028e-06	5.111888132286168e-06
M7XBP3	RHTO_02050	6.265791820417573e-08	4.997554744631699e-08
M7WD50	RHTO_06450	2.739763847538551e-06	2.4319151651711644e-06
M7XKI7	RHTO_02621	2.529679175186172e-06	1.8336690504980506e-06
M7WE73	RHTO_05647		
M7WUH0	RHTO_01358	6.3289391498297985e-06	6.104551778689476e-06
M7WNS4	RHTO_04226	2.820512974697062e-06	2.4743326070824353e-06
M7XNV8	RHTO_00027	4.3770873446375354e-07	3.3983367690076945e-07
M7XPW4	RHTO_00397	6.768640806652683e-07	6.74888599989997e-07
M7XX52	RHTO_05003	9.51377626084949e-06	9.42447696647557e-06
M7X2C9	RHTO_04665	1.3418438883313514e-06	1.1356953647726038e-06
M7WK24	RHTO_02453	4.234253074742278e-07	4.339886546922437e-07
M7XV63	RHTO_06137	1.1530632868065081e-07	9.673116866769891e-08
M7XUZ4	RHTO_06072	8.676061937786628e-07	6.931611485927713e-07
M7XJ27	RHTO_03712	5.348391633367103e-07	3.9599514612563126e-07
M7XE10	RHTO_06481	1.3242408946102723e-06	1.020494488977421e-06
M7WX26	RHTO_02900	4.9541503716560576e-08	4.956502001776536e-08
M7XHC0	RHTO_07601	1.996531691998525e-06	1.6176114476585765e-06
M7WUY9	RHTO_01105	1.6747387693079996e-05	1.11286157003377e-05
M7XTZ4	RHTO_06757	7.634807895228982e-07	6.365443120614605e-07
M7XKD8	RHTO_02581	1.14144720128877e-05	1.0411863224487753e-05
M7WDZ0	RHTO_05740	4.918871145512148e-07	2.889862745178477e-07
M7WGP2	RHTO_04142	5.716377690088179e-07	5.61185486907391e-07
